,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
0,1,19,178,60,1,4,2,0,False,True,True,True
1,2,19,178,60,1,4,2,0,False,True,True,False
2,3,19,178,60,1,4,2,0,False,True,True,True
3,4,19,178,60,1,4,2,0,False,True,True,True
4,1,20,170,53,1,2,1,0,False,False,True,True
5,2,20,170,53,1,2,1,0,False,False,True,False
6,3,20,170,53,1,2,1,0,False,False,False,True
7,4,20,170,53,1,2,1,0,False,False,True,True
8,1,21,164,48,3,3,1,1,True,True,True,True
9,2,21,164,48,3,3,1,1,True,True,True,True
10,3,21,164,48,3,3,1,1,True,True,True,True
11,4,21,164,48,3,3,1,1,True,True,True,True
12,1,22,160,50,2,6,2,0,False,False,True,True
13,2,22,160,50,2,6,2,0,False,False,True,True
14,3,22,160,50,2,6,2,0,False,False,False,True
15,4,22,160,50,2,6,2,0,False,False,True,True
16,1,21,172,66,1,4,2,0,False,False,False,False
17,2,21,172,66,1,4,2,0,False,False,False,False
18,3,21,172,66,1,4,2,0,False,False,False,False
19,4,21,172,66,1,4,2,0,False,False,False,False
20,1,22,152,63,1,2,2,0,False,False,False,True
21,2,22,152,63,1,2,2,0,False,False,False,False
22,3,22,152,63,1,2,2,0,False,False,False,True
23,4,22,152,63,1,2,2,0,False,False,False,True
24,1,22,170,65,1,3,1,0,True,False,True,False
25,2,22,170,65,1,3,1,0,True,False,True,False
26,3,22,170,65,1,3,1,0,True,False,False,False
27,4,22,170,65,1,3,1,0,True,True,True,True
28,1,21,175,85,1,2,2,0,False,False,False,False
29,2,21,175,85,1,2,2,0,False,False,False,False
30,3,21,175,85,1,2,2,0,False,False,False,False
31,4,21,175,85,1,2,2,0,False,False,False,False
32,1,23,187,75,2,4,1,0,True,False,True,True
33,2,23,187,75,2,4,1,0,True,False,True,True
34,3,23,187,75,2,4,1,0,True,False,True,True
35,4,23,187,75,2,4,1,0,False,False,True,True
36,1,21,173,70,1,6,2,0,False,False,True,True
37,2,21,173,70,1,6,2,0,False,False,False,True
38,3,21,173,70,1,6,2,0,False,False,False,True
39,4,21,173,70,1,6,2,0,False,False,True,True
40,1,22,191,95,1,9,1,0,False,False,False,False
41,2,22,191,95,1,9,1,0,False,False,False,False
42,3,22,191,95,1,9,1,0,False,False,False,False
43,4,22,191,95,1,9,1,0,False,False,False,False
44,1,19,158,49,2,4,1,0,True,False,False,True
45,2,19,158,49,2,4,1,0,False,False,True,False
46,3,19,158,49,2,4,1,0,False,False,True,True
47,4,19,158,49,2,4,1,0,True,False,False,True
48,1,18,162,51,1,2,1,0,False,False,False,True
49,2,18,162,51,1,2,1,0,False,False,False,True
50,3,18,162,51,1,2,1,0,False,False,False,True
51,4,18,162,51,1,2,1,0,True,False,False,True
52,1,18,160,54,1,2,1,0,False,False,False,False
53,2,18,160,54,1,2,1,0,False,False,False,False
54,3,18,160,54,1,2,1,0,False,False,False,False
55,4,18,160,54,1,2,1,0,False,False,False,False
56,1,21,170,70,2,1,1,0,False,False,True,True
