,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
0,1,0,2,1,0,1,0,0,False,True,True,True
1,2,0,2,1,0,1,0,0,False,True,True,False
2,3,0,2,1,0,1,0,0,False,True,True,True
3,4,0,2,1,0,1,0,0,False,True,True,True
4,1,0,2,0,0,0,1,0,False,False,True,True
5,2,0,2,0,0,0,1,0,False,False,True,False
6,3,0,2,0,0,0,1,0,False,False,False,True
7,4,0,2,0,0,0,1,0,False,False,True,True
8,1,1,1,0,1,0,1,1,True,True,True,True
9,2,1,1,0,1,0,1,1,True,True,True,True
10,3,1,1,0,1,0,1,1,True,True,True,True
11,4,1,1,0,1,0,1,1,True,True,True,True
12,1,1,1,0,1,1,0,0,False,False,True,True
13,2,1,1,0,1,1,0,0,False,False,True,True
14,3,1,1,0,1,1,0,0,False,False,False,True
15,4,1,1,0,1,1,0,0,False,False,True,True
16,1,1,2,1,0,1,0,0,False,False,False,False
17,2,1,2,1,0,1,0,0,False,False,False,False
18,3,1,2,1,0,1,0,0,False,False,False,False
19,4,1,2,1,0,1,0,0,False,False,False,False
20,1,1,0,1,0,0,0,0,False,False,False,True
21,2,1,0,1,0,0,0,0,False,False,False,False
22,3,1,0,1,0,0,0,0,False,False,False,True
23,4,1,0,1,0,0,0,0,False,False,False,True
24,1,1,2,1,0,0,1,0,True,False,True,False
25,2,1,2,1,0,0,1,0,True,False,True,False
26,3,1,2,1,0,0,1,0,True,False,False,False
27,4,1,2,1,0,0,1,0,True,True,True,True
28,1,1,2,3,0,0,0,0,False,False,False,False
29,2,1,2,3,0,0,0,0,False,False,False,False
30,3,1,2,3,0,0,0,0,False,False,False,False
31,4,1,2,3,0,0,0,0,False,False,False,False
32,1,1,3,2,1,1,1,0,True,False,True,True
33,2,1,3,2,1,1,1,0,True,False,True,True
34,3,1,3,2,1,1,1,0,True,False,True,True
35,4,1,3,2,1,1,1,0,False,False,True,True
36,1,1,2,2,0,1,0,0,False,False,True,True
37,2,1,2,2,0,1,0,0,False,False,False,True
38,3,1,2,2,0,1,0,0,False,False,False,True
39,4,1,2,2,0,1,0,0,False,False,True,True
40,1,1,3,3,0,1,1,0,False,False,False,False
41,2,1,3,3,0,1,1,0,False,False,False,False
42,3,1,3,3,0,1,1,0,False,False,False,False
43,4,1,3,3,0,1,1,0,False,False,False,False
44,1,0,0,0,1,1,1,0,True,False,False,True
45,2,0,0,0,1,1,1,0,False,False,True,False
46,3,0,0,0,1,1,1,0,False,False,True,True
47,4,0,0,0,1,1,1,0,True,False,False,True
48,1,0,1,0,0,0,1,0,False,False,False,True
49,2,0,1,0,0,0,1,0,False,False,False,True
50,3,0,1,0,0,0,1,0,False,False,False,True
51,4,0,1,0,0,0,1,0,True,False,False,True
52,1,0,1,0,0,0,1,0,False,False,False,False
53,2,0,1,0,0,0,1,0,False,False,False,False
54,3,0,1,0,0,0,1,0,False,False,False,False
55,4,0,1,0,0,0,1,0,False,False,False,False
56,1,1,2,2,1,0,1,0,False,False,True,True
57,2,1,2,2,1,0,1,0,False,False,False,True
58,3,1,2,2,1,0,1,0,False,False,False,True
59,4,1,2,2,1,0,1,0,False,False,False,True
60,1,1,2,1,0,1,1,0,False,False,False,False
61,2,1,2,1,0,1,1,0,True,False,True,False
62,3,1,2,1,0,1,1,0,False,False,False,False
63,4,1,2,1,0,1,1,0,True,False,False,False
64,1,0,2,2,1,0,0,1,True,True,True,True
65,2,0,2,2,1,0,0,1,True,True,True,False
66,3,0,2,2,1,0,0,1,True,True,True,True
67,4,0,2,2,1,0,0,1,True,True,True,True
68,1,0,1,0,0,1,1,0,True,True,True,False
69,2,0,1,0,0,1,1,0,False,True,True,False
70,3,0,1,0,0,1,1,0,True,True,False,False
71,4,0,1,0,0,1,1,0,True,True,True,False
72,1,0,2,2,1,0,1,0,True,True,True,True
73,2,0,2,2,1,0,1,0,True,True,True,True
74,3,0,2,2,1,0,1,0,True,True,True,True
75,4,0,2,2,1,0,1,0,True,True,True,True
76,1,1,1,2,1,0,1,0,True,True,False,False
77,2,1,1,2,1,0,1,0,True,True,False,False
78,3,1,1,2,1,0,1,0,True,True,False,False
79,4,1,1,2,1,0,1,0,True,True,False,False
80,1,1,1,1,1,0,0,1,True,True,True,False
81,2,1,1,1,1,0,0,1,True,False,True,False
82,3,1,1,1,1,0,0,1,True,False,False,False
83,4,1,1,1,1,0,0,1,True,False,False,True
84,1,1,1,0,0,1,1,0,True,False,False,True
85,2,1,1,0,0,1,1,0,True,False,False,False
86,3,1,1,0,0,1,1,0,True,True,False,False
87,4,1,1,0,0,1,1,0,True,False,False,False
88,1,1,3,2,1,0,0,0,True,True,False,False
89,2,1,3,2,1,0,0,0,True,False,False,False
90,3,1,3,2,1,0,0,0,False,False,False,False
91,4,1,3,2,1,0,0,0,True,False,False,False
92,1,0,2,1,1,0,1,1,False,False,False,False
93,2,0,2,1,1,0,1,1,False,False,False,False
94,3,0,2,1,1,0,1,1,True,True,False,False
95,4,0,2,1,1,0,1,1,False,False,False,False
96,1,0,2,1,0,0,1,0,False,False,False,False
97,2,0,2,1,0,0,1,0,False,False,False,False
98,3,0,2,1,0,0,1,0,False,False,False,False
99,4,0,2,1,0,0,1,0,False,False,False,False
100,1,1,2,2,0,0,1,1,True,True,True,True
101,2,1,2,2,0,0,1,1,True,True,True,True
102,3,1,2,2,0,0,1,1,True,False,True,True
103,4,1,2,2,0,0,1,1,True,True,True,True
104,1,0,3,3,0,0,0,0,False,False,True,True
105,2,0,3,3,0,0,0,0,False,False,True,True
106,3,0,3,3,0,0,0,0,False,False,False,True
107,4,0,3,3,0,0,0,0,False,False,True,True
108,1,0,1,1,0,0,1,0,False,False,False,False
109,2,0,1,1,0,0,1,0,False,False,False,False
110,3,0,1,1,0,0,1,0,False,False,False,False
111,4,0,1,1,0,0,1,0,False,False,False,False
112,1,0,3,3,0,1,1,0,False,False,False,False
113,2,0,3,3,0,1,1,0,False,False,False,False
114,3,0,3,3,0,1,1,0,False,False,False,False
115,4,0,3,3,0,1,1,0,False,False,False,False
116,1,0,1,1,0,0,0,1,True,True,False,True
117,2,0,1,1,0,0,0,1,True,False,True,False
118,3,0,1,1,0,0,0,1,True,True,False,False
119,4,0,1,1,0,0,0,1,True,True,True,True
120,1,0,2,1,1,0,1,0,False,False,False,False
121,2,0,2,1,1,0,1,0,False,False,False,False
122,3,0,2,1,1,0,1,0,False,False,False,False
123,4,0,2,1,1,0,1,0,False,False,False,False
124,1,1,2,2,0,0,0,0,False,True,False,False
125,2,1,2,2,0,0,0,0,False,True,False,False
126,3,1,2,2,0,0,0,0,False,True,False,False
127,4,1,2,2,0,0,0,0,False,True,False,False
128,1,1,1,1,0,0,1,0,False,False,False,False
129,2,1,1,1,0,0,1,0,False,False,False,False
130,3,1,1,1,0,0,1,0,False,False,False,False
131,4,1,1,1,0,0,1,0,False,True,False,False
132,1,0,0,0,1,0,1,1,True,True,True,False
133,2,0,0,0,1,0,1,1,False,True,True,False
134,3,0,0,0,1,0,1,1,True,True,False,False
135,4,0,0,0,1,0,1,1,True,True,True,False
136,1,0,2,1,0,1,0,0,False,False,True,True
137,2,0,2,1,0,1,0,0,False,False,False,False
138,3,0,2,1,0,1,0,0,False,False,False,False
139,4,0,2,1,0,1,0,0,False,False,False,True
140,1,0,1,1,0,1,1,0,False,False,True,True
141,2,0,1,1,0,1,1,0,False,False,True,True
142,3,0,1,1,0,1,1,0,True,True,True,True
143,4,0,1,1,0,1,1,0,True,True,True,True
144,1,0,3,2,0,0,1,0,False,False,False,True
145,2,0,3,2,0,0,1,0,False,False,False,False
146,3,0,3,2,0,0,1,0,False,False,False,True
147,4,0,3,2,0,0,1,0,True,False,False,True
148,1,0,2,2,0,1,1,0,False,False,True,True
149,2,0,2,2,0,1,1,0,False,False,True,True
150,3,0,2,2,0,1,1,0,False,False,True,True
151,4,0,2,2,0,1,1,0,False,False,True,True
152,1,1,3,1,1,0,0,1,True,True,True,False
153,2,1,3,1,1,0,0,1,True,True,True,False
154,3,1,3,1,1,0,0,1,True,True,True,False
155,4,1,3,1,1,0,0,1,True,True,True,False
156,1,1,1,1,0,0,1,1,True,True,True,True
157,2,1,1,1,0,0,1,1,True,True,True,False
158,3,1,1,1,0,0,1,1,True,True,True,False
159,4,1,1,1,0,0,1,1,True,True,True,False
160,1,1,0,0,1,1,1,0,True,True,True,True
161,2,1,0,0,1,1,1,0,True,True,True,True
162,3,1,0,0,1,1,1,0,True,True,False,True
163,4,1,0,0,1,1,1,0,True,True,True,True
164,1,1,3,2,1,1,1,1,False,True,True,True
165,2,1,3,2,1,1,1,1,False,True,True,True
166,3,1,3,2,1,1,1,1,False,True,True,True
167,4,1,3,2,1,1,1,1,False,True,True,True
168,1,1,2,1,0,0,0,1,True,True,True,True
169,2,1,2,1,0,0,0,1,True,True,True,False
170,3,1,2,1,0,0,0,1,True,True,True,True
171,4,1,2,1,0,0,0,1,True,True,True,True
172,1,1,1,1,1,1,1,0,True,True,True,True
173,2,1,1,1,1,1,1,0,True,True,True,True
174,3,1,1,1,1,1,1,0,True,True,True,True
175,4,1,1,1,1,1,1,0,True,True,True,True
